Date,Open,High,Low,Close,Adj Close,Volume
2022-03-22,205.000000,209.500000,204.050003,208.699997,208.699997,9963973
2022-03-23,209.500000,210.600006,208.300003,210.100006,210.100006,7056588
2022-03-24,210.000000,211.199997,208.000000,210.750000,210.750000,8391719
2022-03-25,210.750000,210.800003,206.699997,209.649994,209.649994,7382003
2022-03-28,209.649994,212.750000,207.500000,212.300003,212.300003,9617684
2022-03-29,213.850006,214.449997,209.699997,211.300003,211.300003,7852887
2022-03-30,213.100006,218.699997,211.800003,217.100006,217.100006,40663864
2022-03-31,215.550003,217.250000,214.750000,216.800003,216.800003,7744520
2022-04-01,216.100006,225.750000,216.100006,225.050003,225.050003,29747971
2022-04-04,226.000000,228.100006,224.050003,227.399994,227.399994,7430648
2022-04-05,229.949997,234.600006,226.899994,233.050003,233.050003,12875616
2022-04-06,231.350006,238.449997,231.149994,236.649994,236.649994,12865257
2022-04-07,235.949997,239.899994,230.000000,231.350006,231.350006,8935434
2022-04-08,233.000000,234.100006,230.600006,232.600006,232.600006,5060077
2022-04-11,232.500000,235.550003,228.399994,230.899994,230.899994,9310367
2022-04-12,229.250000,233.649994,228.600006,233.100006,233.100006,11077431
2022-04-13,234.949997,235.350006,227.550003,229.500000,229.500000,8261580
2022-04-18,229.500000,231.800003,227.550003,231.100006,231.100006,14302443
2022-04-19,232.699997,233.350006,226.500000,227.850006,227.850006,11277707
2022-04-20,228.250000,229.000000,223.449997,227.000000,227.000000,7360981
2022-04-21,226.100006,228.649994,225.250000,227.250000,227.250000,8350750
2022-04-22,225.050003,230.199997,224.699997,225.449997,225.449997,9024187
2022-04-25,223.949997,226.899994,221.500000,222.850006,222.850006,8282013
2022-04-26,227.000000,232.199997,224.350006,231.600006,231.600006,11541867
2022-04-27,231.350006,232.850006,227.449997,229.300003,229.300003,9510157
2022-04-28,233.399994,236.250000,230.050003,235.600006,235.600006,13783610
2022-04-29,235.100006,236.350006,227.050003,227.750000,227.750000,6769749
2022-05-02,225.899994,233.250000,225.899994,231.550003,231.550003,9475765
2022-05-04,233.000000,239.449997,232.899994,237.600006,237.600006,17343483
2022-05-05,238.399994,240.649994,232.850006,233.750000,233.750000,12361452
2022-05-06,231.449997,239.149994,231.449997,238.399994,238.399994,13286390
2022-05-09,239.000000,246.449997,235.649994,245.149994,245.149994,40581020
